"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"380470","28325","24","Stanford","Pac-12","Indianapolis","2012","1","1","1","Andrew Luck","Quarterback","76","234","1","1","99","Houston","TX","USA","29.7589382","-95.3676974","48201"
"378497","28956","239","Baylor","Big 12","Washington","2012","2","1","2","Robert Griffin III","Quarterback","74","231","2","2","97","Copperas Cove","TX","USA","31.124062","-97.9030785","48099"
"480206","27427","333","Alabama","SEC","Cleveland","2012","3","1","3","Trent Richardson","Running Back","69","228","3","1","97","Pensacola","FL","USA","30.421309","-87.2169149","12033"
"-1039055","28826","30","USC","Pac-12","Minnesota","2012","4","1","4","Matt Kalil","Offensive Tackle","79","306","5","1","96","Corona ","CA","USA","33.8752945","-117.5664449","06065"
"380077","28776","197","Oklahoma State","Big 12","Jacksonville","2012","5","1","5","Justin Blackmon","Wide Receiver","73","207","9","1","95","Ardmore","OK","USA","34.1742611","-97.1436254","40019"
"481953","27921","99","LSU","SEC","Dallas","2012","6","1","6","Morris Claiborne","Cornerback","71","188","4","1","97","Shreveport","LA","USA","32.5221828","-93.7651944","22017"
"382590","27429","333","Alabama","SEC","Tampa Bay","2012","7","1","7","Mark Barron","Safety","73","213","8","1","95","Mobile","AL","USA","30.6943566","-88.0430541","01097"
"232059","28393","245","Texas A&M","Big 12","Miami","2012","8","1","8","Ryan Tannehill","Quarterback","76","221","12","3","94","Big Spring","TX","USA","32.250398","-101.4787356","48227"
"480673","28618","103","Boston College","ACC","Carolina","2012","9","1","9","Luke Kuechly","Inside Linebacker","75","242","6","1","96","Cincinnati","OH","USA","39.1014537","-84.5124602","39061"
"483176","28295","2579","South Carolina","SEC","Buffalo","2012","10","1","10","Stephon Gilmore","Cornerback","73","190","14","2","93","Rock Hill","SC","USA","34.9248667","-81.0250784","45091"
"-1019467","28951","235","Memphis","Conference USA","Kansas City","2012","11","1","11","Dontari Poe","Defensive Tackle","76","346","20","3","92","Memphis","TN","USA","35.1490215","-90.0516285","47157"
"-1022142","28964","344","Mississippi State","SEC","Philadelphia","2012","12","1","12","Fletcher Cox","Defensive Tackle","76","298","7","1","95","Yazoo City","MS","USA","32.8551326","-90.4056469","28163"
"379067","28158","87","Notre Dame","FBS Independents","Arizona","2012","13","1","13","Michael Floyd","Wide Receiver","75","220","15","2","93","Saint Paul","MN","USA","44.9504037","-93.1015026","27123"
"481978","28980","99","LSU","SEC","Los Angeles","2012","14","1","14","Michael Brockers","Defensive Tackle","77","322","13","2","94","Houston","TX","USA","29.7589382","-95.3676974","48201"
